date,eur_usd_rate,previous_eur_pricing,percent_change_pricing,5_days_rolling_mean_pricing,10_days_rolling_mean_pricing,60_days_rolling_mean_pricing,120_days_rolling_mean_pricing,5_days_exp_rolling_mean_pricing,10_days_exp_rolling_mean_pricing,60_days_exp_rolling_mean_pricing,120_days_exp_rolling_mean_pricing
1999-06-21,1.0339,1.0388,-0.47169811320753796,1.0380400000000005,1.0401699999999996,1.0606033333333331,1.0923616666666662,1.0381748425217814,1.0400016419431248,1.062342625841348,1.0872344647135113
1999-06-22,1.0313,1.0339,-0.25147499758196495,1.0360800000000006,1.0403999999999995,1.0600149999999995,1.091153333333333,1.036749895014521,1.0388922524989204,1.0614100807317954,1.086352903313288
1999-06-23,1.028,1.0313,-0.3199844856007059,1.0345000000000004,1.0396799999999995,1.059351666666666,1.0899224999999995,1.0349332633430142,1.037511842953662,1.060422864970097,1.0854429379692667
1999-06-24,1.0321,1.028,0.398832684824902,1.0332000000000003,1.0378199999999995,1.0585816666666663,1.0887033333333327,1.0326221755620095,1.035782416962087,1.0593598202169792,1.0844934679201879
1999-06-25,1.0443,1.0321,1.182056002325355,1.0328200000000005,1.0362899999999997,1.0578299999999998,1.087610833333333,1.0324481170413398,1.0351128866053438,1.0584660556197012,1.08362746018597
1999-06-28,1.0388,1.0443,-0.5266685818251517,1.0339200000000004,1.0359799999999997,1.0572816666666665,1.0865974999999997,1.0363987446942264,1.0367832708589175,1.0580015947797108,1.082977419521739
1999-06-29,1.0364,1.0388,-0.2310358105506313,1.0349000000000004,1.0354899999999998,1.0566749999999998,1.085613333333333,1.0371991631294843,1.0371499488845688,1.05737203429513,1.0822472142403878
1999-06-30,1.0328,1.0364,-0.34735623311463215,1.0359200000000004,1.0352099999999997,1.0560716666666663,1.0846499999999997,1.0369327754196562,1.0370135945419199,1.0566844266133224,1.0814894090463318
1999-07-01,1.0264,1.0328,-0.6196746707978275,1.0368800000000005,1.03504,1.0552649999999997,1.0834699999999997,1.0355551836131043,1.036247486443389,1.0559013306587872,1.0806846254257312
1999-07-02,1.0241,1.0264,-0.22408417770849268,1.0357400000000003,1.0342799999999999,1.0543416666666663,1.0823124999999998,1.0325034557420696,1.0344570343627728,1.0549340739158761,1.0797873588897688
1999-07-05,1.0232,1.0241,-0.08788204276925114,1.0317000000000003,1.03281,1.0534466666666664,1.0811583333333332,1.0297023038280464,1.0325739372059048,1.0539231206727324,1.078866906676715
1999-07-06,1.0221,1.0232,-0.10750586395622565,1.0285800000000003,1.0317399999999999,1.0523883333333328,1.080008333333333,1.0275348692186976,1.0308695849866494,1.0529158052408396,1.0779467925167692
1999-07-07,1.0222,1.0221,0.00978377849525379,1.0257200000000004,1.0308199999999998,1.0514816666666662,1.078845833333333,1.0257232461457986,1.0292751149890766,1.051905450970648,1.0770237050371534
1999-07-08,1.0182,1.0222,-0.39131285462727483,1.0236000000000005,1.0302399999999998,1.0505399999999996,1.0777183333333331,1.024548830763866,1.0279887304456081,1.0509315017584957,1.0761175280943907
1999-07-09,1.0204,1.0182,0.21606757022195833,1.0219600000000004,1.0288499999999998,1.049533333333333,1.07656,1.0224325538425774,1.0262089612736793,1.049858337766414,1.075160213580434
1999-07-12,1.0124,1.0204,-0.7840062720501771,1.0212200000000005,1.02646,1.0487599999999995,1.0754241666666666,1.0217550358950516,1.0251527864966465,1.0488924906265316,1.0742550860832367
1999-07-13,1.0183,1.0124,0.5827736072698555,1.0190600000000005,1.02382,1.0479066666666663,1.0742075,1.018636690596701,1.0228340980427109,1.0476960155240223,1.0732326879661584
1999-07-14,1.0168,1.0183,-0.14730433074732957,1.0183000000000004,1.0220099999999999,1.0471349999999997,1.073041666666667,1.0185244603978008,1.0220097165803999,1.0467322117363493,1.0723247096526682
1999-07-15,1.0201,1.0168,0.3245476003147208,1.0172200000000005,1.0204099999999998,1.0464383333333331,1.0719075000000002,1.0179496402652006,1.0210624953839633,1.0457508277449936,1.0714069458567563
1999-07-16,1.0202,1.0201,0.00980296049406813,1.0176000000000005,1.0197799999999997,1.0458049999999997,1.0709000000000004,1.018666426843467,1.0208874962232426,1.0449098169992561,1.0705588971649092
1999-07-19,1.0146,1.0202,-0.5489119780435257,1.0175600000000007,1.0193899999999996,1.0450849999999996,1.0699150000000004,1.0191776178956449,1.0207624969099256,1.0440996590648544,1.0697265186993734
1999-07-20,1.041,1.0146,2.6020106445889986,1.0180000000000007,1.0185299999999995,1.0443049999999998,1.068921666666667,1.0176517452637632,1.0196420429263027,1.0431324571283018,1.0688153365721111
1999-07-21,1.0462,1.041,0.4995196926032751,1.0225400000000007,1.0204199999999994,1.043938333333333,1.068149166666667,1.0254344968425089,1.023525307848793,1.0430625405011442,1.06835557894282
1999-07-22,1.0499,1.0462,0.35366086790289014,1.0284200000000008,1.0228199999999996,1.043598333333333,1.06742,1.0323563312283395,1.0276479791490123,1.043165408025697,1.06798937102641
1999-07-23,1.0496,1.0499,-0.02857414991903676,1.0343800000000007,1.0259899999999995,1.043423333333333,1.0667833333333336,1.038204220818893,1.0316938011219192,1.0433862143199362,1.0676903731582048
1999-07-26,1.0698,1.0496,1.9245426829268286,1.0402600000000006,1.0289099999999993,1.0432549999999996,1.0661200000000004,1.042002813879262,1.0349494736452065,1.043589944997971,1.0673913587258377
1999-07-27,1.0627,1.0698,-0.6636754533557774,1.0513000000000008,1.0346499999999996,1.0434366666666661,1.0656633333333336,1.051268542586175,1.0412859329824415,1.0444492910636112,1.067431170978303
1999-07-28,1.0603,1.0627,-0.22583984191210668,1.0556400000000008,1.0390899999999994,1.0435416666666661,1.065075,1.0550790283907834,1.0451793997129066,1.0450476749631648,1.067352969805108
1999-07-29,1.068,1.0603,0.7262095633311365,1.0584600000000006,1.0434399999999995,1.0434349999999994,1.0644591666666667,1.0568193522605223,1.0479285997651053,1.0455477511938807,1.0672363917918004
1999-07-30,1.0694,1.068,0.13108614232208293,1.0620800000000008,1.0482299999999996,1.0432366666666661,1.0639325,1.0605462348403483,1.0515779452623588,1.0462838904989993,1.0672490134150765
1999-08-02,1.0665,1.0694,-0.27118010099120093,1.0660400000000008,1.0531499999999994,1.0430833333333327,1.0634741666666667,1.0634974898935656,1.0548183188510207,1.0470417957285403,1.0672845669123479
1999-08-03,1.0645,1.0665,-0.18752930145335225,1.0653800000000009,1.0583399999999994,1.042966666666666,1.0629966666666666,1.0644983265957104,1.0569422608781078,1.0476797696390798,1.06727159886421
1999-08-04,1.0761,1.0645,1.0897134805072854,1.065740000000001,1.0606899999999995,1.042821666666666,1.0625541666666667,1.0644988843971404,1.0583163952639063,1.0482312526017328,1.0672257873127355
1999-08-05,1.0791,1.0761,0.27878449958181317,1.068900000000001,1.0636799999999993,1.0430149999999994,1.062144166666667,1.0683659229314268,1.061549777943196,1.0491449820246268,1.0673724685141779
1999-08-06,1.074,1.0791,-0.4726160689463333,1.0711200000000012,1.0665999999999993,1.0432966666666659,1.0617766666666668,1.0719439486209512,1.0647407274080694,1.0501271137615242,1.0675663120098113
